id,title,artist,album,year,mood,genre,lyrics
36,Gori Teri Aankhen,Kumar Sanu,Lucky: No Time for Love,2005,romantic,melodious,"Gori teri aankhen kahen, kuch na kuch baat kahen"
37,Dilbar Mere,Kishore Kumar,Satte Pe Satta,1982,romantic,classic,"Dilbar mere kab tak mujhe, aise hi tadpaoge"
38,Kuch Kuch Hota Hai,Udit Narayan,Kuch Kuch Hota Hai,1998,romantic,love,"Kuch kuch hota hai, kuch kuch hota hai"
39,Dil Chahta Hai,Shankar Mahadevan,Dil Chahta Hai,2001,friendship,youthful,"Dil chahta hai, hum na rahen kabhi yaaron ke bin"
40,Saathiya,Sonu Nigam,Saathiya,2002,romantic,love,"Saathiya tune kya kiya, mujhe to deewana kar diya"
41,Beedi,Sunidhi Chauhan,Omkara,2006,folk,item,"Beedi jalaile jigar se piya, jigar ma badi aag hai"
42,Khuda Jaane,KK,Bachna Ae Haseeno,2008,romantic,love,"Khuda jaane, ke main fida hoon"
43,Bheegi Bheegi Si,James,Gangster,2006,romantic,rain,"Bheegi bheegi si hai raatein, tanha tanha yaadon ke"
44,Zara Zara,Bombay Jayashri,Rehnaa Hai Terre Dil Mein,2001,romantic,love,"Zara zara behekta hai, mehekta hai"
45,Tum Se Hi,Mohit Chauhan,Jab We Met,2007,romantic,love,"Tum se hi din hota hai, surmayi shaam aati hai"
46,Gerua,Arijit Singh,Dilwale,2015,romantic,love,"Rang de tu mohe gerua, dhup se nikal ke"
47,Phir Le Aya Dil,Arijit Singh,Barfi!,2012,soulful,classic,"Phir le aya dil, majboor kar ke"
48,Kabhi Alvida Naa Kehna,Sonu Nigam,Kabhi Alvida Naa Kehna,2006,emotional,parting,"Kabhi alvida na kehna, kabhi alvida na kehna"
49,Bulleya,Amit Mishra,Ae Dil Hai Mushkil,2016,sufi,soulful,"Bulleya, bulleya, mujhko kar de fanaa"
50,Dola Re Dola,Shreya Ghoshal,Devdas,2002,dance,festive,"Dola re dola re dola, dola dola re dola"
51,O Re Piya,Rahat Fateh Ali Khan,Aaja Nachle,2007,sufi,soulful,"O re piya, o re piya, haye o re piya"
52,Hawayein,Arijit Singh,Jab Harry Met Sejal,2017,romantic,love,"Hawayein, hawayein, mera sama hai tu"
53,Suraj Hua Maddham,Sonu Nigam,Kabhi Khushi Kabhie Gham,2001,romantic,love,"Suraj hua maddham, chaand jalne laga"
54,Mitwa,Shafqat Amanat Ali,Kabhi Alvida Naa Kehna,2006,emotional,introspective,"Mitwa, mitwa, mere man ye baawra re"
55,Maahi Ve,A.R. Rahman,Highway,2014,folk,fusion,"Maahi ve, maahi ve, o mere maahi ve"
56,Tumhi Dekho Naa,Sonu Nigam,Kabhi Alvida Naa Kehna,2006,romantic,love,"Tumhi dekho naa, yeh kya ho gaya"
57,Kun Faya Kun,A.R. Rahman,Rockstar,2011,sufi,spiritual,"Kun faya kun, kun faya kun, kun faya kun"
58,Humdard,Arijit Singh,Ek Villain,2014,emotional,love,"Teri muskurahatein hain taaqat meri"
59,Galliyan,Ankit Tiwari,Ek Villain,2014,romantic,love,"Galliyan teri galliyaan, mujhko bhaave"
60,Tu Jaane Na,Atif Aslam,Ajab Prem Ki Ghazab Kahani,2009,romantic,love,"Tu jaane na, aa aa aa, tu jaane na"
61,Ae Dil Hai Mushkil,Arijit Singh,Ae Dil Hai Mushkil,2016,emotional,heartbreak,"Ae dil hai mushkil jeena yahan"
62,Mast Magan,Arijit Singh,2 States,2014,romantic,love,"Mast magan, main toh mast magan"
63,Agar Tum Saath Ho,Arijit Singh,Tamasha,2015,emotional,love,"Agar tum saath ho, agar tum saath ho"
64,Khwaja Mere Khwaja,A.R. Rahman,Jodhaa Akbar,2008,sufi,devotional,"Khwaja mere khwaja, dil mein sama jaa"
65,Kajal Kajal Teri Aankhen,Kumar Sanu,Ilaaka,1989,romantic,classic,"Kajal kajal teri aankhen kajal"
66,Mile Ho Tum Humko,Neha Kakkar,Fever,2016,romantic,love,"Mile ho tum humko, bade naseebon se"
67,Bol Na Halke Halke,Rahat Fateh Ali Khan,Jhoom Barabar Jhoom,2007,romantic,soulful,"Bol na halke halke, mujhse bol na halke halke"
68,Main Rang Sharbaton Ka,Arijit Singh,Phata Poster Nikhla Hero,2013,romantic,love,"Main rang sharbaton ka, tu meethe ghaat ka pani"
69,Afreen Afreen,Rahat Fateh Ali Khan,Coke Studio,2016,sufi,fusion,"Afreen afreen afreen afreen"
70,Dilbaro,Harshdeep Kaur,Raazi,2018,emotional,wedding,"Dilbaro, dilbaro, ni main toh ho gayi juda"
71,Aayat,Arijit Singh,Bajirao Mastani,2015,romantic,classical,"Aayat, aayat, aayat, aayat, aayat"
72,Moh Moh Ke Dhaage,Papon,Dum Laga Ke Haisha,2015,romantic,folk,"Moh moh ke dhaage, yeh moh moh ke dhaage"
73,Malhari,Vishal Dadlani,Bajirao Mastani,2015,energetic,celebration,"Malhari malhari malhari re, malhari re"
74,Luka Chuppi,Lata Mangeshkar,Rang De Basanti,2006,emotional,mother-son,"Luka chuppi bahut hui, saamne aa jaa na"
75,Sooraj Dooba Hai,Arijit Singh,Roy,2015,romantic,peppy,"Sooraj dooba hai yaaro, do ghoont nashe ke maaro"
76,London Thumakda,Labh Janjua,Queen,2014,dance,wedding,"London thumakda, oye hoye"
77,Tu Hai,A.R. Rahman,Mohenjo Daro,2016,romantic,love,"Tu hai, tu hai, toh main hoon"
78,Masakali,Mohit Chauhan,Delhi-6,2009,peppy,fun,"Masakali, masakali, udiyo na daariyo"
79,Tere Liye,Lata Mangeshkar,Veer-Zaara,2004,romantic,love,"Tere liye hum hain jiye, har aasu piye"
80,Chammak Challo,Akon,Ra.One,2011,dance,party,"Chammak challo, challo challo"
81,Ami Je Tomar,Shreya Ghoshal,Bhool Bhulaiyaa,2007,devotional,classical,"Ami je tomar, ami tomay bhalobashi"
82,Shayad,Arijit Singh,Love Aaj Kal,2020,romantic,love,"Shayad, shayad, yun hi chala jaayun"
83,Dariyaa,Mannan Shaah,Manmarziyaan,2018,emotional,love,"Dariyaa, kinaara tera, tu hi, ishaara mera"
84,Deewani Mastani,Shreya Ghoshal,Bajirao Mastani,2015,dance,classical,"Deewani mastani ho gayi, mastani ho gayi"
85,Janam Janam,Arijit Singh,Dilwale,2015,romantic,love,"Janam janam, janam janam"
86,Mere Naam Tu,Abhay Jodhpurkar,Zero,2018,romantic,love,"Mere naam tu, mere naam tu"
87,Kesariya,Arijit Singh,Brahmastra,2022,romantic,love,"Kesariya tera ishq hai piya"
88,Kalank Title Track,Arijit Singh,Kalank,2019,emotional,love,"Ab teri duniya se door, tere ishq mein majboor"
89,Thodi Der,Farhan Saeed,Half Girlfriend,2017,romantic,love,"Thodi der, thodi der, hum dono thodi der"
90,Naina,Arijit Singh,Dangal,2016,emotional,inspirational,"Naina, naina, laage re saanwre"
91,Raatan Lambiyan,Jubin Nautiyal,Shershaah,2021,romantic,love,"Raatan lambiyan, lambiyan re"
92,Qaafirana,Arijit Singh,Kedarnath,2018,romantic,love,"Qaafirana, qaafirana, bayan kya kijiye"
93,Ghungroo,Arijit Singh,War,2019,dance,party,"Ghungroo toot gaye, waist pe thumka lagaaya"
94,Dil Na Jaaneya,Rochak Kohli,Good Newwz,2019,romantic,love,"Dil na jaaneya, kinare hai bas yaara"
95,Rait Zara Si,Arijit Singh,Atrangi Re,2021,romantic,love,"Rait zara si, baat zara si"
96,Tumhe Kitna Pyaar Karte,Jubin Nautiyal,Bawaal,2023,romantic,love,"Tumhe kitna pyaar karte, tumhe hum pukaarte"
97,Jhoome Jo Pathaan,Arijit Singh,Pathaan,2023,dance,party,"Jhoome jo pathaan, main aur tu"
98,Tere Vaaste,Varun Jain,Zara Hatke Zara Bachke,2023,romantic,love,"Tere vaaste, falak se main chaand launga"
99,Apna Bana Le,Arijit Singh,Bhediya,2022,romantic,love,"Apna bana le, piya, apna bana le"
100,Ve Kamleya,Arijit Singh,Rocky Aur Rani Kii Prem Kahaani,2023,romantic,love,"Ve kamleya, main teri ho gayi"
